alias,normalized_alias,region_code,region_name
松葉町4丁目,松葉町4丁目,4844,松葉町４丁目
松葉町４丁目,松葉町4丁目,4844,松葉町４丁目
大津ケ丘3丁目,大津ケ丘3丁目,7563,大津ケ丘３丁目
大津ケ丘３丁目,大津ケ丘3丁目,7563,大津ケ丘３丁目
松葉町5丁目,松葉町5丁目,4845,松葉町５丁目
松葉町５丁目,松葉町5丁目,4845,松葉町５丁目
布施,布施,4280,布施
松葉町1丁目,松葉町1丁目,4841,松葉町１丁目
松葉町１丁目,松葉町1丁目,4841,松葉町１丁目
西柏台2丁目,西柏台2丁目,3842,西柏台２丁目
西柏台２丁目,西柏台2丁目,3842,西柏台２丁目
光ケ丘団地,光ケ丘団地,5800,光ケ丘団地
豊四季台3丁目,豊四季台3丁目,4643,豊四季台３丁目
豊四季台３丁目,豊四季台3丁目,4643,豊四季台３丁目
根戸,根戸,4200,根戸
大室,大室,3080,大室
東中新宿4丁目,東中新宿4丁目,5684,東中新宿４丁目
東中新宿４丁目,東中新宿4丁目,5684,東中新宿４丁目
大津ケ丘1丁目,大津ケ丘1丁目,7561,大津ケ丘１丁目
大津ケ丘１丁目,大津ケ丘1丁目,7561,大津ケ丘１丁目
大津ケ丘2丁目,大津ケ丘2丁目,7562,大津ケ丘２丁目
大津ケ丘２丁目,大津ケ丘2丁目,7562,大津ケ丘２丁目
大津ケ丘4丁目,大津ケ丘4丁目,7564,大津ケ丘４丁目
大津ケ丘４丁目,大津ケ丘4丁目,7564,大津ケ丘４丁目
しいの木台4丁目,しいの木台4丁目,7124,しいの木台４丁目
しいの木台４丁目,しいの木台4丁目,7124,しいの木台４丁目
宿連寺,宿連寺,4160,宿連寺
あかね町,あかね町,1040,あかね町
南増尾8丁目,南増尾8丁目,6168,南増尾８丁目
南増尾８丁目,南増尾8丁目,6168,南増尾８丁目
中新宿1丁目,中新宿1丁目,5561,中新宿１丁目
中新宿１丁目,中新宿1丁目,5561,中新宿１丁目
青葉台2丁目,青葉台2丁目,6042,青葉台２丁目
青葉台２丁目,青葉台2丁目,6042,青葉台２丁目
柏,柏,2800,柏
大井,大井,7440,大井
花野井,花野井,3440,花野井
豊四季台2丁目,豊四季台2丁目,4642,豊四季台２丁目
豊四季台２丁目,豊四季台2丁目,4642,豊四季台２丁目
戸張,戸張,1800,戸張
逆井3丁目,逆井3丁目,6643,逆井３丁目
逆井３丁目,逆井3丁目,6643,逆井３丁目
新逆井1丁目,新逆井1丁目,6081,新逆井１丁目
新逆井１丁目,新逆井1丁目,6081,新逆井１丁目
新柏1丁目,新柏1丁目,5081,新柏１丁目
新柏１丁目,新柏1丁目,5081,新柏１丁目
南増尾1丁目,南増尾1丁目,6161,南増尾１丁目
南増尾１丁目,南増尾1丁目,6161,南増尾１丁目
松ケ崎,松ケ崎,2280,松ケ崎
藤心1丁目,藤心1丁目,6761,藤心１丁目
藤心１丁目,藤心1丁目,6761,藤心１丁目
豊町2丁目,豊町2丁目,2482,豊町２丁目
豊町２丁目,豊町2丁目,2482,豊町２丁目
塚崎,塚崎,7640,塚崎
酒井根2丁目,酒井根2丁目,5482,酒井根２丁目
酒井根２丁目,酒井根2丁目,5482,酒井根２丁目
青葉台1丁目,青葉台1丁目,6041,青葉台１丁目
青葉台１丁目,青葉台1丁目,6041,青葉台１丁目
篠籠田,篠籠田,1560,篠籠田
名戸ケ谷1丁目,名戸ケ谷1丁目,5121,名戸ケ谷１丁目
名戸ケ谷１丁目,名戸ケ谷1丁目,5121,名戸ケ谷１丁目
光ケ丘2丁目,光ケ丘2丁目,5762,光ケ丘２丁目
光ケ丘２丁目,光ケ丘2丁目,5762,光ケ丘２丁目
高柳,高柳,7160,高柳
増尾台3丁目,増尾台3丁目,5203,増尾台３丁目
増尾台３丁目,増尾台3丁目,5203,増尾台３丁目
東中新宿2丁目,東中新宿2丁目,5682,東中新宿２丁目
東中新宿２丁目,東中新宿2丁目,5682,東中新宿２丁目
常盤台,常盤台,1760,常盤台
旭町5丁目,旭町5丁目,2725,旭町５丁目
旭町５丁目,旭町5丁目,2725,旭町５丁目
南逆井3丁目,南逆井3丁目,6123,南逆井３丁目
南逆井３丁目,南逆井3丁目,6123,南逆井３丁目
豊四季,豊四季,1960,豊四季
十余二,十余二,3760,十余二
高田,高田,1680,高田
しいの木台3丁目,しいの木台3丁目,7123,しいの木台３丁目
しいの木台３丁目,しいの木台3丁目,7123,しいの木台３丁目
豊上町,豊上町,1920,豊上町
逆井4丁目,逆井4丁目,6644,逆井４丁目
逆井４丁目,逆井4丁目,6644,逆井４丁目
南逆井6丁目,南逆井6丁目,6126,南逆井６丁目
南逆井６丁目,南逆井6丁目,6126,南逆井６丁目
東中新宿3丁目,東中新宿3丁目,5683,東中新宿３丁目
東中新宿３丁目,東中新宿3丁目,5683,東中新宿３丁目
松葉町6丁目,松葉町6丁目,4846,松葉町６丁目
松葉町６丁目,松葉町6丁目,4846,松葉町６丁目
南逆井4丁目,南逆井4丁目,6124,南逆井４丁目
南逆井４丁目,南逆井4丁目,6124,南逆井４丁目
増尾8丁目,増尾8丁目,5168,増尾８丁目
増尾８丁目,増尾8丁目,5168,増尾８丁目
あけぼの5丁目,あけぼの5丁目,2685,あけぼの５丁目
あけぼの５丁目,あけぼの5丁目,2685,あけぼの５丁目
藤ケ谷,藤ケ谷,7240,藤ケ谷
加賀1丁目,加賀1丁目,5041,加賀１丁目
加賀１丁目,加賀1丁目,5041,加賀１丁目
中新宿3丁目,中新宿3丁目,5563,中新宿３丁目
中新宿３丁目,中新宿3丁目,5563,中新宿３丁目
逆井2丁目,逆井2丁目,6642,逆井２丁目
逆井２丁目,逆井2丁目,6642,逆井２丁目
